,DOY,Hour,Incoming_PAR_Wm2,temperature,VPD,wind_speed,precipitation,time
238,132,15,109.340875,20.665,1.182785646,0.85,0,132.625
239,132,16,100.8890441,20.81,1.096874996,0.85,0,132.6666667
240,132,17,89.49654412,20.495,1.02540911,0.85,5,132.7083333
241,132,18,60.22547794,20.3,0.961231888,0.85,0,132.75
242,132,19,29.21681618,20.69,0.895013927,0.85,0,132.7916667
243,132,20,11.09731618,20.62,1.100210629,0.85,0,132.8333333
244,132,21,0.037017647,20.63,1.184327048,0.85,0,132.875
245,132,22,0.026167647,21.21,1.237979725,0.85,0,132.9166667
246,132,23,0.018827941,21.475,1.273190469,0.85,0,132.9583333
247,133,0,0.020742647,23.16666667,1.48012683,0.85,0,133
248,133,1,0.016753676,23.08333333,1.524570192,0.85,0,133.0416667
249,133,2,0.021380882,23,1.535710312,0.85,0,133.0833333
250,133,3,0.017711029,23,1.568796956,0.85,0,133.125
251,133,4,0.011807353,22.91666667,1.579367135,0.85,0,133.1666667
252,133,5,0.174397794,22.66666667,1.560194737,0.85,0,133.2083333
253,133,6,13.05669853,22.91666667,1.560652513,0.85,0,133.25
254,133,7,19.45660294,23.25,1.166794661,0.85,0,133.2916667
255,133,8,47.63628676,23.58333333,1.244494548,0.85,0,133.3333333
256,133,9,110.7497794,24.91666667,1.712120461,0.85,0,133.375
257,133,10,165.19125,30.25,2.84547196,0.85,0,133.4166667
258,133,11,191.4705882,31.83333333,3.385852234,0.85,0,133.4583333
259,133,12,191.4705882,32.5,3.410134266,0.85,0,133.5
260,133,13,191.4705882,27.5,2.299948682,0.85,0,133.5416667
261,133,14,191.4705882,25.16666667,1.879316639,0.85,0,133.5833333
262,133,15,148.4535294,24.58333333,1.738464443,0.85,0,133.625
263,133,16,148.4216176,21.91666667,1.34338105,0.85,0,133.6666667
264,133,17,53.734625,21.75,1.21907903,0.85,5,133.7083333
265,133,18,39.91842647,21,1.052237496,0.85,0,133.75
266,133,19,19.89858088,21,1.038019258,0.85,0,133.7916667
267,133,20,9.895838235,22.41666667,1.237591409,0.85,0,133.8333333
268,133,21,0.0135625,22.66666667,1.293503029,0.85,0,133.875
269,133,22,0.007818382,22.75,1.360039218,0.85,0,133.9166667
270,133,23,0.005265441,22.91666667,1.401849712,0.85,0,133.9583333
271,134,0,0.006861029,23,1.444131257,0.85,0,134
272,134,1,0.005903676,23,1.455872161,0.85,0,134.0416667
273,134,2,0.006541912,22.83333333,1.44123512,0.85,0,134.0833333
274,134,3,0.006861029,22.91666667,1.493074645,0.85,0,134.125
275,134,4,0.004786765,23.66666667,1.611411608,0.85,0,134.1666667
276,134,5,0.167377206,23.75,1.601900927,0.85,0,134.2083333
277,134,6,14.11616912,23.5,1.519927099,0.85,0,134.25
278,134,7,23.66097794,24.08333333,1.385208892,0.85,0,134.2916667
279,134,8,51.88374265,23.58333333,1.104278472,0.85,0,134.3333333
280,134,9,89.89544118,24.08333333,1.411030599,0.85,0,134.375
281,134,10,112.2017647,30.5,3.070625798,0.85,0,134.4166667
282,134,11,191.4705882,25.83333333,2.256855702,0.85,0,134.4583333
